Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,achieves,adjacent to,affects,allocates,capable of,characteristic for,completed invasion phase,contained in,contains,contributes to,contributor,created by,decreases,decreases effort in,derives from,derives into,determines,don't use concept,editor note,enabled by,ends,ends during,ends with,enhance,facilitate,has alien range,has amount of closely related species,has amount of species,has area,has component,has decreased effort level by,has distribution,has growth,has habitat,has increased effort level by,has increased levels of,has index,has input,has invasion success likelihood,has level of,has measurement,has measurement unit label,has measurement value,has mortality,has natality,has native range,has number of individuals,has output,has part,has part structure that is capable of,has participant,has propagule pressure,has quality,has range,has recruitment,has role,has spatial occupant at some time,has specific name,has status,has value,http://data.bioontology.org/metadata/obo/part_of,http://data.bioontology.org/metadata/prefixIRI,http://data.bioontology.org/metadata/treeView,http://purl.obolibrary.org/obo/IAO_0000111,http://purl.obolibrary.org/obo/IAO_0000112,http://purl.obolibrary.org/obo/IAO_0000114,http://purl.obolibrary.org/obo/IAO_0000115,http://purl.obolibrary.org/obo/IAO_0000118,http://purl.obolibrary.org/obo/IAO_0000119,http://purl.obolibrary.org/obo/IAO_0000232,http://purl.obolibrary.org/obo/IAO_0000412,http://purl.obolibrary.org/obo/ncbitaxon#has_rank,http://purl.obolibrary.org/obo/NCIT_A8,http://purl.obolibrary.org/obo/NCIT_NHC0,http://purl.obolibrary.org/obo/NCIT_P106,http://purl.obolibrary.org/obo/NCIT_P107,http://purl.obolibrary.org/obo/NCIT_P108,http://purl.obolibrary.org/obo/NCIT_P207,http://purl.obolibrary.org/obo/NCIT_P322,http://purl.obolibrary.org/obo/NCIT_P325,http://purl.obolibrary.org/obo/NCIT_P366,http://purl.obolibrary.org/obo/OBI_0001886,http://purl.obolibrary.org/obo/RO_0001900,http://purl.org/dc/elements/1.1/source,http://purl.org/dc/terms/creator,http://www.geneontology.org/formats/oboInOwl#creation_date,http://www.geneontology.org/formats/oboInOwl#hasAlternativeId,http://www.geneontology.org/formats/oboInOwl#hasBroadSynonym,http://www.geneontology.org/formats/oboInOwl#hasDbXref,http://www.geneontology.org/formats/oboInOwl#hasExactSynonym,http://www.geneontology.org/formats/oboInOwl#hasNarrowSynonym,http://www.geneontology.org/formats/oboInOwl#hasOBONamespace,http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym,http://www.geneontology.org/formats/oboInOwl#hasSynonymType,http://www.geneontology.org/formats/oboInOwl#id,http://www.geneontology.org/formats/oboInOwl#inSubset,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2002/07/owl#deprecated,http://www.w3.org/2004/02/skos/core#altLabel,http://www.w3.org/2004/02/skos/core#definition,http://www.w3.org/2004/02/skos/core#notation,https://w3id.org/inbio#_000130,https://w3id.org/inbio#_000132,increases,increases effort in,interacts with,is absent,is affected by,is against,is aggregate of,is alien range to,is characteristic of,is characterized by,is closely related to,is enemy of,is enhanced by,is growth of,is habitat of,is in invasion phase,is mortality of,is natality of,is native range to,is part of,is prey of,is range of,is recruitment of,is similar to,is status of,license,license,license,license,located in,location of,occupies spatial region at some time,occurs in,output of,overlaps,part of,participates in,produced by,produces,quality of,role of,shows changes in species trait,spatially coextensive with,surrounded by,surrounds,title,TODO
http://purl.obolibrary.org/obo/ENVO_01000203,environmental condition,envrionmental characteristic,An environmental condition is a range of a determinate quality or combination of qualities that are present in an environmental system.,false,,,https://w3id.org/inbio#_000059,,,,,,,,,,,,ORCID:0000-0002-4366-3088|pbuttigi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000121,,,,,,,,,,,,,,,,,,,,,,,,envrionmental characteristic,,ENVO,,,ENVO:01000203,envoPolar,"A condition defines a restricted range of a given quality or combination of qualities. If an environment class, E, has_condition C, then all qualities listed in C are restricted to the ranges defined in C in E. This is not intended as a logical conditional.|Experimental class created in EnvO. A condition defines a restricted range of a given quality or combination of qualities. If an environment class, E, has_condition C, then all qualities listed in C are restricted to the ranges defined in C in E. This is not intended as a logical conditional.|An abiotic environmental factor that influences the functioning of living organisms (Begon et al., 2006).",environmental condition,,,An environmental condition is a range of a determinate quality or combination of qualities that are present in an environmental system.,ENVO:01000203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/NCIT_C43428,zone,zonal,Specifies the location of a zone on an array. (caMAGE)|An area or region distinguished from adjacent parts by a distinctive feature or characteristic.,false,,,http://purl.obolibrary.org/obo/NCIT_C20181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NCIT:C43428,,,,,,,,,,,,C43428,Spatial Concept,,,C1710706,,,,,,,,,,,,zonal,,,,,,,,zone,,,Specifies the location of a zone on an array. (caMAGE)|An area or region distinguished from adjacent parts by a distinctive feature or characteristic.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://cerrado.linkeddata.es/ecology/ccon#SimpsonsIndex,simpson's index,,"The simplest measure of the character of a community that takes into account both the abundance (or biomass) patterns and the species richness (Begon et al., 2006).",false,,,https://w3id.org/inbio#_000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ccon:SimpsonsIndex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The simplest measure of the character of a community that takes into account both the abundance (or biomass) patterns and the species richness (Begon et al., 2006).",simpson's index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/PATO_0000125,mass,weight,A physical quality that inheres in a bearer by virtue of the proportion of the bearer's amount of matter.,false,,,https://w3id.org/inbio#_000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PATO:0000125,,,,,,,,,,,,,,,,,,,,,,,,,,,,weight,,,,,,,,mass,,,A physical quality that inheres in a bearer by virtue of the proportion of the bearer's amount of matter.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/NCBITaxon_32524,amniota,amniotes,,false,,,http://purl.obolibrary.org/obo/NCBITaxon_32523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NCBITaxon:32524,,,,,,,,,,,,,,,,,,,,,,,,,,,,amniotes,,,,,,,,amniota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://w3id.org/inbio#_000084,subcontinent,,"A large landmass, such as India, that is part of a continent but is considered either geographically or politically as an independent entity.",false,,,http://purl.obolibrary.org/obo/ENVO_01001785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INBIO:_000084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,from https://www.thefreedictionary.com/subcontinent,subcontinent,,,"A large landmass, such as India, that is part of a continent but is considered either geographically or politically as an independent entity.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_02500003,atmospheric process,,A process which occurs within an atmosphere.,false,,,http://purl.obolibrary.org/obo/ENVO_02500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENVO:02500003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This class will be populated by inference and is primarily organisational.,atmospheric process,,,A process which occurs within an atmosphere.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/ENVO_01000267,,,,,,,,,,,,,,
https://w3id.org/inbio#_000086,trace element,,"A group of chemical elements that are needed in minute quantities for the proper growth, development, and physiology of an organism. (From McGraw-Hill Dictionary of Scientific and Technical Terms, 4th ed)",false,,,https://w3id.org/inbio#_000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INBIO:_000086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,See http://purl.bioontology.org/ontology/MESH/D014131,trace element,,,"A group of chemical elements that are needed in minute quantities for the proper growth, development, and physiology of an organism. (From McGraw-Hill Dictionary of Scientific and Technical Terms, 4th ed)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01001022,natural lake,,A lake which has formed as the result of processes that are not or are only minimally driven by human activity.,false,,,http://purl.obolibrary.org/obo/ENVO_00000020,,,,,,,,,,,,,,,,,,,This class is to be filled by inference.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENVO:01001022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,natural lake,,,A lake which has formed as the result of processes that are not or are only minimally driven by human activity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01001510,material congelation process,congelation|congelation process,A material transformation process during which a material's viscosity increase either through a reduction in temperature or through chemical reactions.,false,,,http://purl.obolibrary.org/obo/ENVO_03000043,,,,,,,,,,,,http://orcid.org/0000-0002-4366-3088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENVO:01001510,,,,,,,,,,,,,,,,,,,,,,,,,,,,congelation|congelation process,,,,,,,Sometimes the increase in viscosity is great enough to crystallize or solidify the substance in question.,material congelation process,,,A material transformation process during which a material's viscosity increase either through a reduction in temperature or through chemical reactions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
